Site Name,Power Plant Type,Plant Status,State,Lat,Lon,Plant Owner,Plant Operator,Nameplate Capacity (MW),Planned Capacity (MW),Max Tower  Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Reason Not Considered
TS Power Plant,Pulverized Coal,Operating,NV,40.6422,-116.937,Newmont Nevada Energy Investment LLC,Newmont Nevada Energy Investment LLC,220,NA,64.7,16.4,Good,
May Plant,Pulverized Coal,Operating,SC,34.2338,-80.6558,INVISTA,INVISTA,30,NA,0,0,Not Considered,Low Operation
Red River Parish-PAC,Pulverized Coal,Planned,LA,32.0306,-93.5692,"Red River Environmental Products, LLC","Red River Environmental Products, LLC",0,36.76,0,0,Not Considered,Other
Desert Rock,Pulverized Coal,Planned,NM,36.5435,-108.2235,Multi-Owned,(blank),0,"1,500",169.2,111.6,Good,
Oak Grove Project,Pulverized Coal,Operating,TX,31.0494,-96.4813,Luminant Generation Company LLC,Luminant Generation Company LLC,944,803,484.4,140.4,Good,
Cates Cogen Plant,Pulverized Coal,Planned,NC,35.6598,-78.2456,University of North Carolina,(blank),0,11,0,0,Not Considered,Other
Carbon Alloy Synthesis Facility,Pulverized Coal,Planned,AL,32.6825,-88.1044,United States Steel Corporation,United States Steel Corporation,0,20.5,0,0,Not Considered,Other
Ben Hill Plant,Pulverized Coal,Planned,GA,31.5,-83.1504,Power4Georgians LLC,(blank),0,850,0,0,Not Considered,Other
Tenaska Trailblazer Energy Center,Pulverized Coal,Planned,TX,32.8043,-100.158,Multi-Owned,Tenaska Inc.,0,600,174.7,44.6,Good,
Ely Energy Center,Pulverized Coal,Planned,NV,39.2512,-114.88,Multi-Owned,Nevada Power Company,0,"1,500",0,0,Not Considered,Other
Rio Bravo Jasmin,Pulverized Coal,Operating,CA,35.7415,-119.0512,Multi-Owned,"Constellation Operating Services, Inc.",38.2,NA,9.8,2.5,Good,
Raton,Pulverized Coal,Operating,NM,36.893,-104.442,Raton Public Service Co,Raton Public Service Co,7.5,NA,0,0,Not Considered,Plant Too Old
Savannah Mill,Pulverized Coal,Operating,GA,32.3683,-81.3413,International Paper Company,International Paper Company,154,NA,21,5.3,Good,
Plant Crisp,Pulverized Coal,Operating,GA,31.8477,-83.9421,Crisp County Power Comm,Crisp County Power Comm,12.5,NA,0,0,Not Considered,Plant Too Old
Green County,Pulverized Coal,Operating,AL,32.6017,-87.7811,Multi-Owned,Alabama Power Company,568.4,NA,0,0,Not Considered,Plant Too Old
Kennecott Utah Copper,Pulverized Coal,Operating,UT,40.7119,-112.1225,Kennecott Utah Copper Corporation,Kennecott Utah Copper Corporation,213.8,NA,0,0,Not Considered,Plant Too Old
Kinston,Pulverized Coal,Operating,NC,35.3298,-77.4752,"Unifi, Inc.","Unifi, Inc.",15,NA,0,0,Not Considered,Plant Too Old
Bountiful City Petroleum Coke Plant,Pulverized Coal,Planned,UT,40.9897,-112.1096,"Consolidated Energy, Inc.",(blank),0,109,0,0,Not Considered,Other
Savannah Sugar Refinery,Pulverized Coal,Operating,GA,32.1491,-81.1449,Imperial Holly Corp.,Imperial Holly Corp.,11.7,NA,0,0,Not Considered,Low Operation
Argus Cogen Plant,Pulverized Coal,Operating,CA,35.765,-117.3833,Searles Valley Minerals Operations Inc.,Searles Valley Minerals Operations Inc.,55,NA,0,0,Not Considered,Plant Too Old
Yates,Pulverized Coal,Operating,GA,33.4622,-84.8986,Georgia Power Company,Georgia Power Company,"1,487.3",NA,0,0,Not Considered,Plant Too Old
E S Joslin,Pulverized Coal,Planned,TX,28.67945,-96.56,ReNu Power LLC,(blank),0,303,88.7,22.5,Good,
Sandy Creek,Pulverized Coal,Under Construction,TX,31.5031,-96.9602,Multi-Owned,(blank),0,900,243.6,66.9,Good,
Shady Point,Pulverized Coal,Operating,OK,35.1931,-94.6458,"AES Endeavor, Inc.","AES Shady Point, LLC",350,NA,102.5,26,Good,
"Jefferson Smurfit Nassau County,  FL",Pulverized Coal,Operating,FL,30.6833,-81.4592,Smurfit-Stone Container Corporation,Smurfit-Stone Container Corporation,74.4,NA,22,5.5,Good,
Limestone (TX),Pulverized Coal,Operating,TX,31.4219,-96.2525,NRG Texas Power LLC,NRG Texas Power LLC,"1,849.8",800,487.9,137.3,Good,
Carbon,Pulverized Coal,Operating,UT,39.7272,-110.8644,PacifiCorp,PacifiCorp,188.6,NA,0,0,Not Considered,Plant Too Old
Rio Bravo Poso,Pulverized Coal,Operating,CA,35.5556,-119.0832,Multi-Owned,"Constellation Operating Services, Inc.",38.2,NA,11.3,2.8,Fair,
Cholla,Pulverized Coal,Operating,AZ,34.9394,-110.3033,Multi-Owned,Arizona Public Service Company,"1,128.8",NA,212.4,54,Excellent,
Southport NC,Pulverized Coal,Operating,NC,33.9444,-78.0125,Primary Energy Holdings LLC,(blank),135,NA,39.8,10,Fair,
W A Parish,Pulverized Coal,Operating,TX,29.4828,-95.6311,NRG Texas Power LLC,NRG Texas Power LLC,"2,697.4",NA,357.6,91.4,Good,
Canadys,Pulverized Coal,Operating,SC,33.0647,-80.6228,South Carolina Electric & Gas Co.,South Carolina Electric & Gas Co.,489.6,NA,0,0,Not Considered,Plant Too Old
"Roanoke Rapids, North Carolina",Pulverized Coal,Operating,NC,36.4758,-77.6407,Kapstone Kraft Paper Corporation,Kapstone Kraft Paper Corporation,22.5,NA,0,0,Not Considered,Plant Too Old
J K Spruce,Pulverized Coal,Operating,TX,29.3091,-98.3205,CPS Energy,CPS Energy,566,760,203.4,103.1,Good,
Charles R Lowman,Pulverized Coal,Operating,AL,31.4858,-87.9106,PowerSouth Energy Cooperative,PowerSouth Energy Corporation,538,NA,69.2,17.6,Fair,
Stockton Cogen,Pulverized Coal,Operating,CA,37.9119,-121.2611,Air Products Manufacturing Corporation,"Air Products Energy Enterprises, L.P.",60,NA,17.8,4.5,Good,
Valmy,Pulverized Coal,Operating,NV,40.8831,-117.1542,Multi-Owned,Sierra Pacific Power Company,567,500,166.2,42.2,Good,
Valmy,Pulverized Coal,Planned,NV,40.8831,-117.1542,Multi-Owned,Sierra Pacific Power Company,567,500,145.9,37.2,Good,
Intermountain,Pulverized Coal,Operating,UT,39.5108,-112.5792,Intermountain Power Agency,Intermountain Power Agency,"1,640",NA,470.2,122,Good,
UNC - Chapel Hill,Pulverized Coal,Operating,NC,35.9069,-79.0617,University of North Carolina,University of North Carolina,28,20,15.4,3.9,Fair,
Hunter,Pulverized Coal,Operating,UT,39.1747,-111.0289,Multi-Owned,PacifiCorp,"1,472.2",NA,286.8,73.2,Good,
Victor J. Daniel Jr.,Pulverized Coal,Operating,MS,30.5335,-88.5574,Multi-Owned,Mississippi Power Company,"1,096.6",NA,159.8,40.8,Good,
Stanton Energy Center,Pulverized Coal,Operating,FL,28.4836,-81.1686,Multi-Owned,Orlando Utilities Commission,929,NA,12.3,12.6,Fair,
Mayo,Pulverized Coal,Operating,NC,36.5278,-78.8917,Multi-Owned,Carolina Power & Light Company,735.8,NA,212.9,54.7,Fair,
Rocky Mount,Pulverized Coal,Operating,NC,36.0378,-77.7542,Multi-Owned,"Cogentrix Energy, LLC",114.8,NA,33.9,8.6,Good,
Roxboro,Pulverized Coal,Operating,NC,36.4833,-79.0731,Multi-Owned,Carolina Power & Light Company,"2,558.2",NA,215.6,55.4,Fair,
Coosa Pines,Pulverized Coal,Operating,AL,33.3278,-86.3583,Bowater Incorporated,Bowater Alabama LLC,26.1,NA,0,1,Not Considered,Unit Too Small for Tower
Dan River,Pulverized Coal,Operating,NC,36.4862,-79.7208,"Duke Energy Carolinas, LLC","Duke Energy Carolinas, LLC",290,NA,0,0,Not Considered,Low Land
Indiantown Cogeneration Facility,Pulverized Coal,Operating,FL,27.0393,-80.5144,Multi-Owned,U.S. Operating Services Company,395.4,NA,115.4,29.4,Good,
San Miguel,Pulverized Coal,Operating,TX,28.7044,-98.4781,San Miguel Electric Cooperative Inc.,San Miguel Electric Cooperative Inc.,410,NA,119.8,30.5,Good,
Apache Station,Pulverized Coal,Operating,AZ,32.0619,-109.8931,Arizona Electric Power Cooperative Inc.,"Arizona Electric Power Cooperative, Inc.",408,NA,0,0,Not Considered,Plant Too Old
Asheville,Pulverized Coal,Operating,NC,35.4714,-82.5431,Carolina Power & Light Company,Carolina Power & Light Company,413.6,NA,0,0,Not Considered,Plant Too Old
Barry,Pulverized Coal,Operating,AL,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,"1,770.7",NA,0,0,Not Considered,Plant Too Old
Belews Creek,Pulverized Coal,Operating,NC,36.2811,-80.0603,"Duke Energy Carolinas, LLC","Duke Energy Carolinas, LLC","2,160.2",NA,0,0,Not Considered,Plant Too Old
Big Bend,Pulverized Coal,Operating,FL,27.7944,-82.4036,Tampa Electric Company,Tampa Electric Company,"1,822.5",NA,139.8,36.1,Good,
Big Brown,Pulverized Coal,Operating,TX,31.8206,-96.0561,Luminant Generation Company LLC,Luminant Generation Company LLC,"1,186.8",NA,0,0,Not Considered,Plant Too Old
Bonanza,Pulverized Coal,Operating,UT,40.0864,-109.2844,Multi-Owned,Deseret Generation & Transmission Cooperative,499.5,NA,145.8,37.2,Good,
Bowen,Pulverized Coal,Operating,GA,34.1256,-84.9192,Georgia Power Company,Georgia Power Company,"3,498.6",NA,0,0,Not Considered,Plant Too Old
Buck (NC),Pulverized Coal,Operating,NC,35.7133,-80.3767,"Duke Energy Carolinas, LLC","Duke Energy Carolinas, LLC",370,NA,0,0,Not Considered,Plant Too Old
Bull Run (TN),Pulverized Coal,Operating,TN,36.0211,-84.1567,Tennessee Valley Authority,Tennessee Valley Authority,950,NA,0,0,Not Considered,Plant Too Old
C D McIntosh Jr,Pulverized Coal,Operating,FL,28.0809,-81.9256,Multi-Owned,Lakeland City of,363.8,NA,45.4,27.1,Fair,
Cameo,Pulverized Coal,Operating,CO,39.1486,-108.3189,Public Service Company of Colorado,Public Service Company of Colorado,66,NA,0,0,Not Considered,Plant Too Old
Cape Fear,Pulverized Coal,Operating,NC,35.595,-79.0492,Carolina Power & Light Company,Carolina Power & Light Company,328.5,NA,0,0,Not Considered,Plant Too Old
Colbert,Pulverized Coal,Operating,AL,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,"1,350",NA,0,0,Not Considered,Plant Too Old
Comanche (CO),Pulverized Coal,Operating,CO,38.2081,-104.5747,Public Service Company of Colorado,Public Service Company of Colorado,778.5,NA,0,0,Not Considered,Plant Too Old
Comanche (CO),Pulverized Coal,Under Construction,CO,38.2081,-104.5747,Multi-Owned,Public Service Company of Colorado,0,780,235.4,61,Good,
Crist,Pulverized Coal,Operating,FL,30.5661,-87.2289,Gulf Power Company,Gulf Power Company,"1,135.1",NA,0,0,Not Considered,Plant Too Old
Cross,Pulverized Coal,Operating,SC,33.3692,-80.1119,South Carolina Public Service Authority,South Carolina Public Service Authority,"2,390.1",NA,147.6,92.5,Good,
Crystal River,Pulverized Coal,Operating,FL,28.9594,-82.7003,Florida Power Corporation,Florida Power Corporation,"2,442.7",NA,123.2,98.6,Fair,
Cumberland (TN),Pulverized Coal,Operating,TN,36.3903,-87.6539,Tennessee Valley Authority,Tennessee Valley Authority,"2,600",NA,0,0,Not Considered,Plant Too Old
Deerhaven,Pulverized Coal,Operating,FL,29.7586,-82.3883,Gainsville Regional Utilities,Gainsville Regional Utilities,250.7,NA,73.5,18.7,Good,
Dolet Hills,Pulverized Coal,Operating,LA,32.0306,-93.5692,Multi-Owned,Cleco Corporation,720.7,NA,209.2,53.6,Fair,
Dolphus M Grainger,Pulverized Coal,Operating,SC,33.8253,-79.0528,South Carolina Public Service Authority,South Carolina Public Service Authority,163.2,NA,0,0,Not Considered,Plant Too Old
Drake,Pulverized Coal,Operating,CO,38.8244,-104.8331,Colorado Springs Utilities,Colorado Springs Utilities,257,NA,0,0,Not Considered,Plant Too Old
E C Gaston,Pulverized Coal,Operating,AL,33.2442,-86.4567,Multi-Owned,Alabama Power Company,"2,012.8",NA,0,0,Not Considered,Plant Too Old
Elizabethtown,Pulverized Coal,Operating,NC,34.6474,-78.6407,Multi-Owned,"Elizabethtown Energy, LLC",34.7,NA,0,0,Not Considered,Low Operation
Escalante,Pulverized Coal,Operating,NM,35.4159,-108.082,Tri-State Generation & Transmission Association,"Tri-State Generation & Transmission Association, Inc.",257,NA,75.4,19.1,Good,
Fayette Power Project,Pulverized Coal,Operating,TX,29.9172,-96.7506,Multi-Owned,Lower Colorado River Authority,"1,690",NA,291.4,90,Fair,
Florence Mill,Pulverized Coal,Operating,SC,34.1519,-79.5587,Smurfit-Stone Container Corporation,Smurfit-Stone Container Corporation,107.6,NA,23.4,5.9,Good,
G G Allen,Pulverized Coal,Operating,NC,35.1897,-81.0122,"Duke Energy Carolinas, LLC","Duke Energy Carolinas, LLC","1,155",NA,0,0,Not Considered,Plant Too Old
Gallatin,Pulverized Coal,Operating,TN,36.3156,-86.4006,Tennessee Valley Authority,Tennessee Valley Authority,"1,255.2",NA,0,0,Not Considered,Plant Too Old
GRDA,Pulverized Coal,Operating,OK,36.1906,-95.2889,Multi-Owned,Grand River Dam Authority,"1,010",NA,293.7,75.1,Fair,
H B Robinson,Pulverized Coal,Operating,SC,34.4017,-80.1589,Carolina Power & Light Company,Carolina Power & Light Company,206.6,NA,0,0,Not Considered,Plant Too Old
H.F. Lee Energy Complex,Pulverized Coal,Operating,NC,35.3775,-78.0875,Carolina Power & Light Company,Carolina Power & Light Company,402.4,NA,0,0,Not Considered,Plant Too Old
Harllee Branch,Pulverized Coal,Operating,GA,33.1942,-83.2994,Georgia Power Company,Georgia Power Company,"1,746.2",NA,0,0,Not Considered,Plant Too Old
Hayden,Pulverized Coal,Operating,CO,40.4856,-107.185,Multi-Owned,Public Service Company of Colorado,465.4,NA,0,0,Not Considered,Plant Too Old
Hugo,Pulverized Coal,Operating,OK,34.0158,-95.3206,Western Farmers Electric Cooperative Inc.,Western Farmers Electric Cooperative Inc.,446,NA,130,33.2,Good,
Huntington,Pulverized Coal,Operating,UT,39.3792,-111.0781,PacifiCorp,PacifiCorp,996,NA,0,0,Not Considered,Plant Too Old
Irvington,Pulverized Coal,Operating,AZ,32.16,-110.9047,Tucson Electric Power Company,Tuscon Electric Power Company,173.3,NA,0,0,Not Considered,Plant Too Old
J T Deely,Pulverized Coal,Operating,TX,29.3072,-98.3228,CPS Energy,CPS Energy,932,NA,0,0,Not Considered,Plant Too Old
Jack McDonough,Pulverized Coal,Operating,GA,33.8244,-84.475,Georgia Power Company,Georgia Power Company,598.4,NA,0,0,Not Considered,Plant Too Old
Jack Watson,Pulverized Coal,Operating,MS,30.4408,-89.0265,Mississippi Power Company,Mississippi Power Company,877.2,NA,0,0,Not Considered,Plant Too Old
Jefferies,Pulverized Coal,Operating,SC,33.2422,-79.9875,South Carolina Public Service Authority,South Carolina Public Service Authority,345.6,NA,0,0,Not Considered,Plant Too Old
John Sevier,Pulverized Coal,Operating,TN,36.3767,-82.9639,Tennessee Valley Authority,Tennessee Valley Authority,800,NA,0,0,Not Considered,Plant Too Old
Johnsonville (TN),Pulverized Coal,Operating,TN,36.0278,-87.9861,Tennessee Valley Authority,Tennessee Valley Authority,"1,485.2",NA,0,0,Not Considered,Plant Too Old
Kingston,Pulverized Coal,Operating,TN,35.8992,-84.5194,Tennessee Valley Authority,Tennessee Valley Authority,"1,700",NA,0,0,Not Considered,Plant Too Old
Marshall,Pulverized Coal,Operating,NC,35.5975,-80.9658,"Duke Energy Carolinas, LLC","Duke Energy Carolinas, LLC","1,996",NA,0,0,Not Considered,Plant Too Old
Martin Lake,Pulverized Coal,Operating,TX,32.2597,-94.5703,Luminant Generation Company LLC,Luminant Generation Company LLC,"2,379.6",NA,0,0,Not Considered,Plant Too Old
McIntosh,Pulverized Coal,Operating,GA,32.3558,-81.1683,Georgia Power Company,Georgia Power Company,177.6,NA,0,0,Not Considered,Plant Too Old
Mitchell (GA),Pulverized Coal,Operating,GA,31.4444,-84.1322,Georgia Power Company,Georgia Power Company,163.2,NA,0,0,Not Considered,Plant Too Old
